第 1 欄,股票代碼/名稱,備註,總股數,成交均價 (USD),總成本 (USD),佔總投資額的百分比,最新價格 (USD),預估現值 (USD),預估現值 (TWD)
(AI All)鏟子,NVDA ,(輝達/NVIDIA) 有利潤倉❤,10,180.578,"$1,805.78",14.38262287%,225.32,2253.2,"NT$71,161.01"
博通,AVGO,,2,323.25,$646.50,5.149223985%,425.19,850.38,"NT$26,856.87"
玻璃基板,ALMU,,0,17.24733,$0.00,0%,24.86,0,NT$0.00
記憶體,MU,,2,410.58,$821.16,6.540350762%,724.66,1449.32,"NT$45,772.71"
記憶體,SNXX ,(2xSNDK),0,304.12,$0.00,0%,157.08,0,NT$0.00
先進封裝,ONTO,,3,288.043333,$864.13,6.882596933%,271.77,815.31,"NT$25,749.28"
先進封裝,AMKR,艾克爾國際科技（2028）,5,76.956,$384.78,3.064684308%,70.35,351.75,"NT$11,109.04"
先進封裝,ASX,日月光,5,35.288,$176.44,1.405304068%,33.81,169.05,"NT$5,338.97"
光通訊,GLW,康寧,10,167.338,"$1,673.38",13.32808729%,191.81,1918.1,"NT$60,577.82"
,GLWG,2x康寧,5,32.1,$160.50,1.27834563%,29.11,145.55,"NT$4,596.79"
光通訊,COHR,,,,$0.00,0%,382.45,0,NT$0.00
光通訊,LWLG,,,,$0.00,0%,13.65,0,NT$0.00
CPU,ARM,,,,$0.00,0%,209.16,0,NT$0.00
傳輸,AAOI,,0,,$0.00,0%,190.36,0,NT$0.00
控制晶片,RMBS,藍博士,5,129.554,$647.77,5.159339244%,127.05,635.25,"NT$20,062.59"
,,,,,"$7,180.44",57.19055509%,,,
,,,,,,0%,,,
稀土,MP, (MP Materials Corp),0,66.854,$0.00,0%,61.27,0,NT$0.00
,UUUU ,(Energy Fuels Inc),0,14.934667,$0.00,0%,18.41,0,NT$0.00
,,,,,$0.00,0%,,,
,,,,,,0%,,,
能源,CCJ, (Cameco Corporation),0,94.492,$0.00,0%,107.51,0,NT$0.00
,LEU, (Centrus Energy Corp) 利潤倉,0,306.06,$0.00,0%,182.6,0,NT$0.00
,BE ,(Bloom Energy Corp),0,0,$0.00,0%,275.95,0,NT$0.00
,EOSE ,(Eos Energy Enterprises),0,12.643615,$0.00,0%,7.87,0,NT$0.00
,SMR ,(核能),5,41.21,$206.05,1.641140916%,11.23,56.15,"NT$1,773.34"
,SMUP,(2倍SMR),0,11.9325,$0.00,0%,9.43,0,NT$0.00
,VSTL,,0,0,$0.00,0%,23.56,0,NT$0.00
,,,,,$206.05,1.641140916%,,,
,,,,,,0%,,,
軍工,AVAV ,"(AeroVironment, Inc.)",0,314.81,$0.00,0%,158,0,NT$0.00
,KTOS," (Kratos Defense&Security Solutions, Inc.)",0,88.36,$0.00,0%,52.09,0,NT$0.00
,ONDS ,(Ondas Holdings) 利潤倉❤,320,7.957406,"$2,546.37",20.28125146%,10.62,3398.4,"NT$107,328.95"
,RDW,,0,8.957,$0.00,0%,14.06,0,NT$0.00
,,,,,"$2,546.37",1.347001951%,,,
,,,,,,0%,,,
醫療,TMDX, (TransMedics Group) 3-4股是利潤倉❤,0,123.395455,$0.00,0%,63.2,0,NT$0.00
,,,,,$0.00,0%,,,
,,,,,,0%,,,
ETF,VT,全球型ETF,10,142.03,"$1,420.30",11.31236323%,153.52,1535.2,"NT$48,484.99"
,,,,,"$1,420.30",11.31236323%,,,
,,,,,,0%,,,
平台,AMZN, (亞馬遜/Amazon),3,234.966667,$704.90,5.614366578%,264.14,792.42,"NT$25,026.37"
,MELI,,0,0,$0.00,0%,1546.81,0,NT$0.00
,,,,,$704.90,5.614366578%,,,
,,,,,,0%,,,
貴金屬,FCX, (銅),0,60.52,$0.00,0%,63.01,0,NT$0.00
,SLV ,(白銀),5,99.446,$497.23,3.960322726%,69.04,345.2,"NT$10,902.18"
,GLD,(黃金),0,0,$0.00,0%,417.29,0,NT$0.00
,,,,,$497.23,3.960322726%,,,
,,,,,,0%,,,
,NFLX, (網飛）,0,85.49,$0.00,0%,87.02,0,NT$0.00
,,,,,$0.00,0%,,,
,,,,,,0%,,,
,,,,,"$12,555.29",100%,,14715.28,"NT$464,740.92"
,,,,,,,,,
,,,,26/02/26前已實獲利,1304.6,2026整年獲利,預估現值,14715.28,464740.916
,,,,,,,原始成本,18635.02,588534.9286
,,,,26/01/30美股在投入總成本,"$12,555.29",,未實現損益,-3919.74,-123794.0126
,,,,26/01/30 美金庫存,9366.89,(要隨時調整數值),(預估現值-原始成本),,
,,,,全加總 (不含現有帳面獲利),"$21,922.18",,美金庫存,9366.89,295826.9934
,,,,,,,累積淨盈餘,5447.15,172032.9807
,,,,全加總  (不含現有帳面獲利),"$21,922.18",,(未實現損益+現金庫存),,
,,,,曾經24-25年換來美金,18635.02,原始投入總成本 (2026/01/28/+3200),,,
,,,,獲利（曾經獲利）,"$3,287.16",,,,
,,,,,,,,,
,,,,26/01/09美股在投入總成本,"$12,555.29",,,,
,,,,獲利（曾經獲利）,"$3,287.16",,,,
,,,,帳面跌破侵蝕本金的範圍,"$9,268.13",***股票臨界現值***,,,
,,,,,,,,,
,,,,驗證,,,,,
,,,,帳面跌破侵蝕本金的範圍,"$9,268.13",,,,
,,,,26/01/30 美金庫存,9366.89,,,,
,,,,,"$18,635.02",原始投入總成本,,,